	chunks	max	min	sd	sttr_100
EO_TALKSHOW_006	7.0	0.78	0.58	0.0576760835377	0.698571428571
EO_TALKSHOW_007	88.0	0.8	0.55	0.0510983444525	0.674431818182
EO_TALKSHOW_008	26.0	0.69	0.54	0.0397272505702	0.624230769231
EO_TALKSHOW_009	98.0	0.74	0.52	0.0528422680197	0.625204081633
EO_TALKSHOW_010	24.0	0.77	0.51	0.0594184782333	0.611666666667
EO_TALKSHOW_011	68.0	0.73	0.53	0.045898140195	0.626911764706
EO_TOU_001	30.0	0.81	0.65	0.0409823810381	0.739333333333
EO_TOU_002	31.0	0.81	0.61	0.0392648362702	0.727419354839
EO_TOU_003	18.0	0.77	0.58	0.0471175310091	0.672777777778
EO_TOU_004	18.0	0.81	0.67	0.0378797642972	0.736111111111
EO_TOU_005	30.0	0.82	0.63	0.0458693797647	0.746
EO_TOU_006	30.0	0.83	0.59	0.0551774913851	0.715666666667
EO_TOU_007	30.0	0.79	0.63	0.0382912812821	0.697333333333
EO_TOU_008	29.0	0.84	0.6	0.0580069289395	0.71724137931
EO_TOU_009	30.0	0.75	0.6	0.0357848509226	0.698333333333
EO_TOU_010	31.0	0.81	0.67	0.0372157978383	0.733870967742
EO_TOU_011	26.0	0.82	0.59	0.0523472700949	0.705384615385
EO_WEB_001	28.0	0.75	0.49	0.0589145004846	0.619285714286
EO_WEB_002	31.0	0.77	0.58	0.0447515979054	0.678064516129
EO_WEB_003	34.0	0.72	0.56	0.0423896899393	0.631764705882
EO_WEB_004	14.0	0.79	0.59	0.0473157004619	0.715714285714
EO_WEB_005	24.0	0.77	0.62	0.0419242040937	0.704166666667
EO_WEB_006	14.0	0.67	0.45	0.0667006715996	0.557142857143
EO_WEB_007	31.0	0.76	0.57	0.0541628177079	0.667741935484
EO_WEB_008	23.0	0.85	0.66	0.0472654891547	0.759130434783
EO_WEB_009	31.0	0.77	0.62	0.0401117066633	0.693225806452
EO_WEB_010	22.0	0.81	0.57	0.0623523048279	0.695909090909
EO_WEB_011	17.0	0.77	0.54	0.0547848891853	0.644705882353
EO_WEB_012	35.0	0.77	0.63	0.0374318428232	0.696
GO_ACADEMIC_001	32.0	0.73	0.55	0.0473311142379	0.653125
GO_ACADEMIC_002	31.0	0.7	0.5	0.0485781175712	0.595806451613
GO_ACADEMIC_003	30.0	0.67	0.47	0.0476608388046	0.575333333333
GO_ACADEMIC_004	85.0	0.75	0.51	0.0472841663514	0.626823529412
GO_ACADEMIC_005	28.0	0.7	0.53	0.0434952495647	0.622857142857
GO_ACADEMIC_006	34.0	0.7	0.56	0.0359317403614	0.640294117647
GO_ACADEMIC_007	34.0	0.71	0.48	0.0509969807099	0.615882352941
GO_ACADEMIC_008	32.0	0.71	0.52	0.0356291116048	0.6215625
GO_ACADEMIC_009	32.0	0.76	0.53	0.0554870128386	0.6534375
GO_ACADEMIC_010	30.0	0.71	0.51	0.0394701012019	0.614333333333
GO_ESSAY_001	17.0	0.81	0.61	0.0563110491472	0.712352941176
GO_ESSAY_002	7.0	0.76	0.69	0.0231234486518	0.727142857143
GO_ESSAY_003	13.0	0.74	0.68	0.015876744185	0.716923076923
GO_ESSAY_004	11.0	0.79	0.68	0.0340636254458	0.741818181818
GO_ESSAY_005	13.0	0.77	0.68	0.0338811008393	0.735384615385
GO_ESSAY_006	13.0	0.81	0.68	0.0337060035388	0.738461538462
GO_ESSAY_007	18.0	0.83	0.67	0.03831722689	0.726111111111
GO_ESSAY_008	8.0	0.84	0.61	0.0629980158418	0.7175
GO_ESSAY_009	16.0	0.78	0.64	0.0374530956664	0.718125
GO_ESSAY_010	21.0	0.78	0.6	0.0381249883833	0.715238095238
GO_ESSAY_011	15.0	0.78	0.64	0.0470271789028	0.704666666667
GO_ESSAY_012	4.0	0.78	0.64	0.0511737237261	0.6975
GO_ESSAY_013	17.0	0.79	0.63	0.0354994029873	0.724705882353
GO_ESSAY_014	15.0	0.8	0.68	0.032903900478	0.742
GO_ESSAY_015	11.0	0.77	0.69	0.0229624198915	0.74
GO_ESSAY_016	5.0	0.76	0.68	0.0292574776767	0.712
GO_ESSAY_017	12.0	0.73	0.63	0.0241953852349	0.6825
